"url","reviews","rank","rating","hotel_name","hotel_features","hotel_price","no_of_deals","booking_provider","hotel_url"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","2074 ","#55 Best Value of 157 places to stay in Boston","4.5","Boston Harbor Hotel","Free Wifi,Pool","₫10,475,035","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","95 ","#56 Best Value of 157 places to stay in Boston","5","Courtyard Boston Downtown/North Station","Free Wifi,Restaurant,Hotel website","₫5,900,893","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","529 ","#57 Best Value of 157 places to stay in Boston","4.5","Residence Inn Boston Downtown/Seaport","Free Wifi,Breakfast included,Hotel website","₫7,503,891","5","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","190 ","#58 Best Value of 157 places to stay in Boston","4.5","Boston Yacht Haven Inn & Marina","Free Wifi,Breakfast included","₫9,873,541","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d518130-Reviews-Boston_Yacht_Haven_Inn_Marina-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","896 ","#59 Best Value of 157 places to stay in Boston","4.5","Marriott Vacation Club Pulse at Custom House, Boston","Free Wifi,Bar/Lounge,Hotel website","₫5,551,354","0","TripAdvisor","https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1983 ","#60 Best Value of 157 places to stay in Boston","4.5","Four Seasons Hotel Boston","Pool,Restaurant,Hotel website","₫14,717,384","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","1776 ","","4.5","Battery Wharf Hotel, Boston Waterfront","Restaurant,Room Service,Hotel website","₫4,365,381","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","387 ","#61 Best Value of 157 places to stay in Boston","4.5","Gryphon House","Free Wifi,Breakfast included","₫6,621,080","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d77601-Reviews-Gryphon_House-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","267 ","#62 Best Value of 157 places to stay in Boston","4.5","The College Club of Boston","Free Wifi,Breakfast included","₫6,219,744","0","TripAdvisor","https://www.tripadvisor.com/Hotel_Review-g60745-d280420-Reviews-The_College_Club_of_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","2974 ","#63 Best Value of 157 places to stay in Boston","4","Boston Park Plaza","Restaurant,Room Service,Hotel website","₫3,947,681","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111418-Reviews-Boston_Park_Plaza-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","2733 ","#64 Best Value of 157 places to stay in Boston","4","Sheraton Boston Hotel","Pool,Restaurant,Hotel website","₫4,368,349","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d89602-Reviews-Sheraton_Boston_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","1459 ","#65 Best Value of 157 places to stay in Boston","3.5","Best Western Plus Boston Hotel","Free Wifi,Free Parking,Hotel website","₫4,898,123","0","HotelQuickly","https://www.tripadvisor.com/Hotel_Review-g60745-d222957-Reviews-Best_Western_Plus_Boston_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","1895 ","#66 Best Value of 157 places to stay in Boston","4","DoubleTree by Hilton Hotel Boston Bayside","Restaurant,Bar/Lounge,Hotel website","₫4,322,258","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d94368-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Bayside-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","2412 ","#67 Best Value of 157 places to stay in Boston","4","Wyndham Boston Beacon Hill","Free Wifi,Pool,Hotel website","₫4,621,849","0","HotelQuickly","https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","3129 ","#68 Best Value of 157 places to stay in Boston","4","Hilton Boston Back Bay","Pool,Restaurant,Hotel website","₫8,443,999","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111428-Reviews-Hilton_Boston_Back_Bay-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","440 ","#69 Best Value of 157 places to stay in Boston","4","Aloft Boston Seaport District","Free Wifi,Pool,Hotel website","₫4,722,124","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d8145466-Reviews-Aloft_Boston_Seaport_District-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","861 ","#70 Best Value of 157 places to stay in Boston","4","Holiday Inn Express Boston","Free Wifi,Free Parking,Hotel website","₫4,623,140","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d121009-Reviews-Holiday_Inn_Express_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa60-Boston_Massachusetts-Hotels.html","840 ","#71 Best Value of 157 places to stay in Boston","3.5","Copley House","Free Wifi,Hotel website","₫5,221,800","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d120977-Reviews-Copley_House-Boston_Massachusetts.html"
